DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,,,
2/2/2020 17:59,7.03,"12,974", , , , , 
2/2/2020 18:04,6.95,"10,317", , , , , 
2/2/2020 18:09,6.95,"12,211", , , , , 
2/2/2020 18:14,6.86,"10,516", , , , , 
2/2/2020 18:19,6.78,"9,833", , , , , 
2/2/2020 18:24,6.82,"10,849", , , , , 
2/2/2020 18:29,7.08,"39,516", , , , , 
2/2/2020 18:34,7.16,"54,497", , , , , 
2/2/2020 18:39,6.9,"12,989", , , , , 
2/2/2020 18:44,6.9,"13,491", , , , , 
2/2/2020 18:49,6.86,"14,392", , , , , 
2/2/2020 18:54,6.95,"58,552", , , , , 
2/2/2020 18:59,6.9,"15,109", , , , , 
2/2/2020 19:04,7.5,"25,549", , , , , 
2/2/2020 19:09,6.86,"9,139", , , , , 
2/2/2020 19:14,8.49,"42,496", , , , , 
2/2/2020 19:19,8.75,"58,266", , , , , 
2/2/2020 19:24,8.15,"19,615", , , , , 
2/2/2020 19:29,7.29,"11,878", , , , , 
2/2/2020 19:34,6.95,"10,150", , , , , 
2/2/2020 19:39,6.78,"6,787", , , , , 
2/2/2020 19:44,6.99,"13,860", , , , , 
2/2/2020 19:49,6.95,"13,174", , , , , 
2/2/2020 19:54,6.86,"11,023", , , , , 
2/2/2020 19:59,6.9,"14,566", , , , , 
2/2/2020 20:04,7.08,"14,894", , , , , 
2/2/2020 20:09,6.95,"11,244", , , , , 
2/2/2020 20:14,6.86,"9,165", , , , , 
2/2/2020 20:19,6.78,"6,986", , , , , 
2/2/2020 20:24,6.69,"6,106", , , , , 
2/2/2020 20:29,6.69,"6,756", , , , , 
2/2/2020 20:34,6.6,"5,722", , , , , 
2/2/2020 20:39,6.56,"4,657", , , , , 
2/2/2020 20:44,6.52,"4,659", , , , , 
2/2/2020 20:49,6.52,"5,042", , , , , 
2/2/2020 20:54,6.48,"3,471", , , , , 
2/2/2020 20:59,6.48,"4,064", , , , , 
2/2/2020 21:04,6.43,"3,474", , , , , 
