DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,
2/2/2020 21:18,7.89,"4,426", , 
2/2/2020 21:23,7.85,"2,454", , 
2/2/2020 21:28,7.81,"2,031", , 
2/2/2020 21:33,7.81,"2,033", , 
2/2/2020 21:38,7.81,"1,484", , 
2/2/2020 21:43,7.76,"1,238", , 
2/2/2020 21:48,7.76,638, , 
2/2/2020 21:53,7.76,403, , 
2/2/2020 21:58,7.72,250, , 
2/2/2020 22:03,7.68,155, , 
2/2/2020 22:08,7.72,65, , 
2/2/2020 22:13,7.72,21, , 
2/2/2020 22:18,7.63,11, , 
2/2/2020 22:23,7.68,5, , 
2/2/2020 22:28,7.68,3, , 
2/2/2020 22:33,7.68,3, , 
2/2/2020 22:38,7.76,2, , 
2/2/2020 22:43,7.72,2, , 
2/2/2020 22:48,7.72,2, , 
2/2/2020 22:53,7.72,2, , 
2/2/2020 22:58,7.76,0, , 
2/2/2020 23:03,7.72,0, , 
2/2/2020 23:08,7.72,0, , 
2/2/2020 23:13,7.76,0, , 
2/2/2020 23:18,7.76,0, , 
2/2/2020 23:23,7.76,0, , 
2/2/2020 23:28,7.81,0, , 
2/2/2020 23:33,7.76,0, , 
2/2/2020 23:38,7.81,0, , 
2/2/2020 23:43,7.81,0, , 
2/2/2020 23:48,7.81,0, , 
2/2/2020 23:53,7.81,0, , 
2/2/2020 23:58,7.85,0, , 
2/3/2020 0:03,7.89,0, , 
2/3/2020 0:08,7.89,0, , 
2/3/2020 0:13,7.89,0, , 
2/3/2020 0:18,7.85,0, , 
2/3/2020 0:23,7.85,0, , 
2/3/2020 0:28,7.81,0, , 
2/3/2020 0:33,7.81,0, , 
2/3/2020 0:38,7.76,0, , 
2/3/2020 0:43,7.72,0, , 
2/3/2020 0:48,7.68,0, , 
2/3/2020 0:53,7.72,0, , 
2/3/2020 0:58,7.68,0, , 
2/3/2020 1:03,7.68,0, , 
2/3/2020 1:08,7.59,0, , 
2/3/2020 1:13,7.63,0, , 
2/3/2020 1:18,7.59,1, , 
2/3/2020 1:23,7.59,1, , 
2/3/2020 1:28,7.59,1, , 
2/3/2020 1:33,7.59,1, , 
2/3/2020 1:38,7.59,1, , 
2/3/2020 1:43,7.55,1, , 
2/3/2020 1:48,7.55,1, , 
2/3/2020 1:53,7.55,1, , 
2/3/2020 1:58,7.5,1, , 
2/3/2020 2:03,7.55,1, , 
