cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,65%,a,a,>0&<200,152,6,0.33182747,2.18953457,367,187,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.33182747,2.18953457,298,197,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.33182747,2.18953457,354,207,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.33182747,2.18953457,306,180,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.33182747,2.18953457,321,186,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.33182747,2.18953457,313,178,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,65%,a,a,>10&<200,152,6,0.33182747,2.18953457,59.3,29.5,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,65%,a,b,>10&<200,152,6,0.33182747,2.18953457,64.6,32,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,65%,a,c,>10&<200,152,6,0.33182747,2.18953457,58.8,29.4,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,65%,b,a,>10&<200,152,6,0.33182747,2.18953457,61.6,30.3,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
