cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.776503022,2.22867365,1.78,1.39,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.776503022,2.22867365,25.8,17,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.776503022,2.22867365,20.5,12.3,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.776503022,2.22867365,27.5,19.7,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.776503022,2.22867365,3.79,2.6,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.776503022,2.22867365,4.49,2.9,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.776503022,2.22867365,3.77,2.53,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,a,a,>0&<200,152,6,0.776503022,2.22867365,13.7,11.6,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,14.7,8.45,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,19.1,11.3,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
