cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.813376915,2.21629417,,,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.813376915,2.21629417,,,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,a,a,>0&<200,152,6,0.813376915,2.21629417,182,127,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,a,b,>0&<200,152,6,0.813376915,2.21629417,195,106,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,a,c,>0&<200,152,6,0.813376915,2.21629417,191,109,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,b,a,>0&<200,152,6,0.813376915,2.21629417,196,116,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,b,b,>0&<200,152,6,0.813376915,2.21629417,196,107,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,b,c,>0&<200,152,6,0.813376915,2.21629417,182,111,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,a,a,>10&<200,152,6,0.813376915,2.21629417,37.1,18.8,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,a,b,>10&<200,152,6,0.813376915,2.21629417,38.4,19.9,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,a,c,>10&<200,152,6,0.813376915,2.21629417,37.6,19.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,b,a,>10&<200,152,6,0.813376915,2.21629417,35.8,18,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,b,b,>10&<200,152,6,0.813376915,2.21629417,41,20.3,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,b,c,>10&<200,152,6,0.813376915,2.21629417,37.9,19.1,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,a,a,>10&<200,152,6,0.813376915,2.21629417,161,80.2,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,a,b,>10&<200,152,6,0.813376915,2.21629417,164,82.2,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,a,c,>10&<200,152,6,0.813376915,2.21629417,263,126,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,b,a,>10&<200,152,6,0.813376915,2.21629417,155,79.1,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,b,b,>10&<200,152,6,0.813376915,2.21629417,160,79.2,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,b,c,>10&<200,152,6,0.813376915,2.21629417,169,82.7,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,a,a,>10&<200,152,6,0.813376915,2.21629417,166,80.2,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,a,b,>10&<200,152,6,0.813376915,2.21629417,168,84.3,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,a,c,>10&<200,152,6,0.813376915,2.21629417,169,81.7,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,b,a,>10&<200,152,6,0.813376915,2.21629417,,,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,b,b,>10&<200,152,6,0.813376915,2.21629417,,,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,65%,b,c,>10&<200,152,6,0.813376915,2.21629417,,,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.813376915,2.21629417,51.66,28.7,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.813376915,2.21629417,52.92,29.4,0.9545,0.939,,,,,,,,
